Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
33150,JP3889610006,First Section,Oil & Coal Products,"March,31",100
50080,JP3556800005,Second Section,Oil & Coal Products,"March,31",100
50100,JP3723800003,Second Section,Oil & Coal Products,"December,31",100
50110,JP3665600007,First Section,Oil & Coal Products,"March,31",100
50130,JP3948400001,First Section,Oil & Coal Products,"March,31",100
50150,JP3836500003,First Section,Oil & Coal Products,"December,31",100
50170,JP3160300004,First Section,Oil & Coal Products,"March,31",100
50180,JP3868850003,First Section,Oil & Coal Products,The end of February,100
50190,JP3142500002,First Section,Oil & Coal Products,"March,31",100
50200,JP3386450005,First Section,Oil & Coal Products,"March,31",100
50210,JP3298000005,First Section,Oil & Coal Products,"March,31",100
